#id,AGE,MURDER TOOL,CLOTHE,SHOES,HEADWEAR,ACCESSORY,JOB,TIME,PLACE,SOUND,TRACE
362,50s,Wooden Cane,Logo Printed Windbreaker,Cherry Colored Boots,High Ponytail,Drop earrings,Chef,Morning,Officetel Management Office,Toilet Flush Sound,Black Powder
363,30s,Tetrodotoxin Powder,Purple Short Cardigan,German Army Trainers,Low Ponytail,Black Backpack,Athletic Trainer,Morning,Lecture Hall,Remote Air Conditioner,Excrements
364,30s,Microgun XM214,Grey Fleece Hoodie,Black Leather Loafer,Bob With Bangs,Drop earrings,Carpenter,Early Morning,Closed Amusement Park,Twisting Jaw joint,Headlight
365,30s,BBQ Fork,White Shirt,Bare Foot,Short Hair,Engagement Ring,Director,Morning,Rooftop Cafe,Irregular Walking Sound,Written In Blood
366,50s,Broken Beer Bottle,Short Padded Coat,Strapped Leather Sandal,Comma Hairstyle,Electronics Anklet,Janitor,Morning,Old Studio Apartment,Toilet Flush Sound,Cigarette Butts
367,30s,Wrapped Blowfish Sashimi,Varsity Jacket,Strapped Leather Sandal,Pixie Cut,Black Backpack,Janitor,Late Afternoon,Haunted House,Twisting Jaw joint,Scorch Mark
368,40s,Stained Handsaw,Printed White Tshirt,Brown Leather Loafer,Comma Hairstyle,Black Backpack,Firefighter,Late Night,Old DVD room,Remote Air Conditioner,Black Wig Hair
369,50s,Shinai,Ivy League Hoodie,Cherry Colored Boots,Perm With Bangs,Buddhist Bead Bracelet,Professor,Morning,Old Studio Apartment,Irregular Walking Sound,Body Hair
370,50s,Soju Bottle,Jersey Zip Hoodie,Black Low Sneakers,Pomade Hair,Engagement Ring,Chef,Early Morning,Old Snack Bar,Quite Conversation,Written In Blood
371,40s,Red Brick,Crop Vest Knit,Ivory Converse,Long Hippie Perm,Hand Prothetics,Janitor,Morning,Meat Cold Storage,Strong Wind,Lipstick Stained Cigarette
372,30s,Stained Handsaw,Short Padded Coat,Cherry Colored Boots,Long Curly Hair,Colorful Bracelets,Nurse,Late Night,Major Bank,Phone Alarm Ringing,Black Hair
373,60s,Potassium Cyanide,Brown Wool Coat,Blue Football Boots,Short Hair,Cross Charm Bracelet,Banker,Morning,New Guest House,Dog Barking,Black Hair
374,20s,Rusty Shotgun,Green Hiking Jacket,German Army Trainers,Pomade Hair,Electronics Anklet,Nurse,Morning,Cargo Truck Back,Neon Sign Noise,Metal Fragments
375,40s,Fire Axe,Khaki Tshirt,Red Football Boots,Long Hair,Thick Glasses,Sanitation Worker,Night,Cafe Terrace,Chewing Gum,Black Powder
376,50s,Walther PPK .32ACP,Jersey Zip Hoodie,White Running Shoes,Mid-long Curly Hair,Millitary Backpack,Lawyer,Early Morning,Self Service Cafe,Finger Snap,Cigarette Butts
377,20s,Porcelain Pot,White Shirt,Ivowy Suede Moccasin,Pink Permed Hair,Buddhist Bead Bracelet,Sanitation Worker,Deep Dawn,Haunted House,Digging With Shovel,Headlight
378,70s,Rusty Shotgun,Grey Hiking Jacket,Bare Foot,Dandy Hairstyle,Engagement Ring,Professor,Late Night,Famous Traditional Market,Irregular Walking Sound,Women`s Underwear
379,40s,Red Chainsaw,Emerald Coach Jacket,Black Dress Shoes,Mid-long Straight Hair,Engagement Ring,Photographer,Morning,PC cafe,Strong Wind,Written In Blood
380,70s,Walther PPK .32ACP,Old Denim Jacket,White Platform Sneakers,Long Curly Hair,Millitary Backpack,Mart Cashier,Late Afternoon,Messy Goshiwon,Water Flowing Sound,Skid Mark
381,60s,Expandable Nightstick,Jersey Zip Hoodie,Ochre Leather Loper,Pixie Cut,Thick Chain Nechlace,Guard,Deep Dawn,Old Studio Apartment,Crack Knuckles,Women`s Underwear
382,30s,Wooden Handle Cleaver,Long Field Jacket,White Basketball Shoes,Long Curly Hair,Buddhist Bead Bracelet,Engineer,Morning,Broken Street Lamp,Dog Barking,Black Button
383,40s,Fabric Scissors,Long buttonless Cardigan,Blue Football Boots,Short Permed Hair,Skull Shaped Ring,Guard,Late Night,Closed Amusement Park,Washing Machine Sound,Paint Stain
384,20s,Venomous Snake Cage,Grey Knit Shirt,Black Low Sneakers,Long Layered Hair,Black Disposable Mask,Cleaner,Night,Lonesome Bus Station,Skid Sounds,Footprint 240mm Loper
385,40s,Bottle of Propofol,Green Hiking Jacket,Red Football Boots,Buzz cut hair,Thick Chain Nechlace,Banker,Morning,Self Service Bar,Chalkboard Scraping,Nail Tips
386,20s,Walther PPK ,Duck Patch Hoodie,Suede Boat shoes,Pink Permed Hair,Chocker Necklace,Director,Late Night,Passenger Seat,Birds Singing,Footprint 245mm Highheels
387,20s,Expandable Nightstick,Long buttonless Cardigan,White Running Shoes,Short Permed Hair,Skull Shaped Ring,Hotel Receptionist,Night,Closed Amusement Park,TV Sports Commentaries,Black Hair
388,40s,Sharp Edged Stone,Short Padded Coat,Ochre Leather Loper,Brown Short Babyperm,Black Disposable Mask,Mechanic,Late Afternoon,Dumpster,Hazy Music,Light Brown Hair
389,30s,Muscaria Mushroom,Undershirt,German Army Trainers,Natural Two Block,Nose Piercing,Soldier,Night,Karaoke Underground,Pipe Hitting Wall,Maggot
390,20s,Iron Coping Saw,Lace Blouse,Bare Foot,Black Short Babyperm,Engagement Ring,Engineer,Late Night,Big Old Arboretum,Slip and Crash,Black Wig Hair
391,30s,Red Chainsaw,Yellow Short Cardigan,Strapped Leather Sandal,Long Brown hair,Leg Prosthetics,Hotel Receptionist,Early Morning,Haunted House,Computer Mouse Clicking,Fibrous Tissues
392,40s,Rusty Shotgun,Grey Hiking Jacket,Black Converse,Comma Hairstyle,Skull Shaped Ring,Firefighter,Late Afternoon,Big Square Onstage,Chewing Gum,Disposable Lighter
393,60s,Cordless Drill,Khaki Tshirt,White Stained Boots,Long Blonde hair,Nose Piercing,Guard,Night,Inn Near Brothel,Keyboard Sound,Metal Fragments
394,50s,Hydrochloric Acid,Grey Hiking Jacket,Black Converse,Two Block Haircut,Lion Shaped Ring,Guard,Night,Messy Goshiwon,Phone Alarm Ringing,Scorch Mark
395,30s,Round Edged Stone,Short Padded Coat,White Stained Boots,Brown Short Babyperm,Black Backpack,Soldier,Late Afternoon,Private English Academy,Washing Machine Sound,Written In Blood
396,60s,Sniper Gun ULR338,Short Padded Coat,Strapped Leather Sandal,Perm With Bangs,Wide Leather Bracelet,Soldier,Deep Dawn,Town Hall,Sand Stepping Barefoot,Lipstick Stained Cigarette
397,20s,Metal Pipe,Charcoal Hoodie,Black Dress Shoes,Two Block Haircut,Gold Cross Necklace,Director,Late Afternoon,Lecture Hall,Cat Meow,Lipstick Stained Cigarette
398,40s,Climbing Rope,China Collar Shirt,Logo Printed Slider,Pomade Hair,Leg Prosthetics,Engineer,Night,SUV Back Seats,Draw On Asphalt,Women`s Underwear
399,20s,Irregular Shaped Rock,Grey Knit Shirt,Cherry Colored Boots,Mid-long Straight Hair,Lion Shaped Ring,Sanitation Worker,Late Night,Dumpster,Sand Stepping Barefoot,Empty Cartridge
400,40s,Submachine Gun AR-18,Long Padded Coat,Suede Boat shoes,Bald Hair,Lion Shaped Ring,Professor,Deep Dawn,Blackout Parking Lot,Electric Fan Sound,Body Hair
401,40s,BBQ Fork,Crop Vest Knit,Strapped Leather Sandal,Mid-long Hair,Gold Cross Necklace,Janitor,Early Morning,Famous Traditional Market,Cat Meow,Body Hair
402,30s,Submachine Gun K16,Long Field Jacket,Red Converse,Long Permed Hair,Tennis Wristband,Cleaner,Early Morning,Amusement Park Pillar,Digging With Shovel,Weapon With Fingerprint
403,20s,Wire Saw,Duck Patch Hoodie,Red Football Boots,Long Hair,Engagement Ring,Nurse,Late Afternoon,Self Service Cafe,Chewing Paper Cup,Black Powder
404,40s,Fire Poker,Pilot Bomber Jacket,Ivowy Suede Moccasin,Black Short Babyperm,Colorful Bracelets,Mart Cashier,Early Morning,Night Mountain,Crack Knuckles,Disposable Lighter
405,40s,Green Paring Knife,Printed White Tshirt,Black Low Sneakers,Long Bleached hair,Eyebrow Piercing,Sanitation Worker,Morning,Closed Factory,Chewing Paper Cup,Lipstick Stained Cigarette
406,50s,Stained Handsaw,Duck Patch Hoodie,Brown Leather Loafer,Long Curly Hair,Buddhist Bead Bracelet,Actor,Morning,Night Mountain,Slip and Crash,Black Button
407,50s,BBQ Fork,Grey Hiking Jacket,Suede Boat shoes,Short Hair,Charm Earrings,Nurse,Morning,Inside Taxi,Skid Sounds,Ripped Cloth
408,60s,Green Paring Knife,Long Padded Coat,Bare Foot,Low Ponytail,Cross Charm Bracelet,Athletic Trainer,Late Night,Underground Grocery Store,Water Flowing Sound,Lipstick Stained Cigarette
409,30s,Potassium Cyanide,Vest With Slits,Chess Patteren loafer,Natural Two Block,Thick Chain Nechlace,Model,Morning,Officetel Underground Parkinglot,Irregular Walking Sound,Arson Attempt
410,30s,Beer Bottle,Printed White Tshirt,Black Leather Loafer,Long Hair,Black Disposable Mask,Engineer,Deep Dawn,Inside Taxi,Fan Sound,Light Brown Hair
411,40s,Submachine Gun K16,Ivy League Hoodie,Chess Patteren loafer,Pomade Hair,Colorful Bracelets,Homeless,Night,Big Old Arboretum,Crack Knuckles,Fibrous Tissues
412,30s,Black Handled Scissors,Cotton Zip Hoodie,Black Boots,Short Permed Hair,Buddhist Bead Bracelet,Soldier,Late Afternoon,Motel in Backstreet,People Having Conversation,Women`s Underwear
413,30s,Chisel,Lace Blouse,White Platform Sneakers,Black Short Babyperm,Lion Shaped Ring,Mart Cashier,Late Night,Shared Office Toilet,Digging With Shovel,Irregular Footprints
414,30s,Cocaine,Crop Vest Knit,White Platform Sneakers,Bob With Bangs,Black Backpack,Chef,Deep Dawn,Airbnb With Host,Electric Fan Sound,Light Brown Hair
415,20s,Mechanical Pencil,Duck Patch Hoodie,Black Low Sneakers,Short Curly Hair,Silver Stainless Ring,Soldier,Around Midnight,Custom Camping Car,Cat Meow,Body Hair
416,40s,Monkey Wrench,Grey Knit Shirt,Blue Football Boots,Natural Two Block,Skull Shaped Ring,Guard,Early Morning,Haunted House,Propeller Sound,Fibrous Tissues
417,40s,Flathead Screwdriver,Long Padded Coat,Strapped Leather Sandal,Short Curly Hair,Tennis Wristband,Janitor,Late Night,Luxury Club,Crack Knuckles,Different Soil
418,30s,Wood Branch,Duck Patch Hoodie,Red Converse,Mid-long Ponytail,Thick Chain Nechlace,Model,Night,Self Service Bar,Remote Air Conditioner,Fly
419,40s,Pry Bar,Black Hiking Jacket,Strapped Leather Sandal,Natural Two Block,Charm Earrings,Sanitation Worker,Late Night,Closed Amusement Park,Finger Snap,Lipstick Without Fingerprint
420,70s,Pesticide,Grey Fleece Hoodie,Red Converse,Short Permed Hair,Cross Charm Bracelet,Director,Night,Old Studio Apartment,Chewing Paper Cup,Black Powder
421,30s,Golf Club,Luxury Brown Shearing,Ivory Converse,Black Short Babyperm,Tennis Wristband,Engineer,Late Night,Members Only Studyroom,Bearing Groaning,Lipstick Stained Cigarette
422,60s,Flathead Screwdriver,Vest With Slits,White Running Shoes,Long Layered Hair,Skull Shaped Ring,Athletic Trainer,Early Morning,Old DVD room,Washing Machine Sound,Scorch Mark
423,30s,Red Chainsaw,Blue Shirt,Strapped Leather Sandal,Buzz cut hair,Nose Piercing,Guard,Night,Convinience Store Table,Hammering Sound,Footprint 240mm Loper
424,40s,Bottle of Propofol,White Shirt,Blue Football Boots,Pink Permed Hair,Black Disposable Mask,Athletic Trainer,Morning,Members Only Studyroom,Twisting Jaw joint,Black Button
425,40s,Red Brick,Long Sleeve Tshirt,German Army Trainers,Short Curly Hair,Millitary Backpack,Firefighter,Morning,PC cafe,Chewing Paper Cup,Written In Blood
426,30s,Female Stocking,Grey Fleece Hoodie,Brown Flip Flop,Bob With Bangs,Black Backpack,Hotel Receptionist,Morning,Passenger Seat,Phone Alarm Ringing,Arson Attempt
427,40s,Wooden Board,Logo Printed Sweatshirt,Strapped Leather Sandal,Mid-long Straight Hair,Lion Shaped Ring,Director,Morning,Haunted House,Reading Buddhist Text,Not Solidfied Blood
428,50s,Rusty Shotgun,Undershirt,Black Converse,Long Permed Hair,Engagement Ring,Engineer,Late Night,Deep Forest,Grind one`s Teeth,Women`s Underwear
429,40s,Potassium Cyanide,Duck Patch Hoodie,Black Converse,Dandy Hairstyle,Engagement Ring,Mechanic,Late Afternoon,Blackout Parking Lot,Propeller Sound,Lipstick Without Fingerprint
430,40s,Shinai,Blue Shirt,Skyblue Flip Flop,Mid-long Straight Hair,Skull Shaped Ring,Actor,Late Night,Sashimi Restaurant,Sand Stepping Barefoot,Erased Blood Stain
431,20s,Pry Bar,Long Field Jacket,Red Football Boots,Pomade Hair,Leg Prosthetics,Firefighter,Late Night,Messy Club,Irregular Walking Sound,Crumpled Cigarette Package
432,20s,Poisoned Medicine,Luxury Brown Shearing,Strapped Leather Sandal,Long Black Hair,Cross Charm Bracelet,Cleaner,Deep Dawn,Inn Near Brothel,Spit On Ground,Excrements
433,20s,Desert Eagle,Duck Patch Hoodie,Blue Football Boots,Mid-long Straight Hair,Skull Shaped Ring,Soldier,Morning,Inn Near Brothel,Chewing Gum,Chewed Gum
434,30s,Rusty Pickaxe,Short Padded Coat,Strapped Leather Sandal,Brown Short Babyperm,Lion Shaped Ring,Hotel Receptionist,Morning,7 Star Hotel,People Having Conversation,Different Soil
435,40s,Submachine Gun K16,White Shirt,White Platform Sneakers,Long Hair,Thick Chain Nechlace,Janitor,Early Morning,Karaoke Underground,Drilling,Scorch Mark
436,20s,BBQ Fork,Vest With Slits,Brown Leather Loafer,High Ponytail,Cross Charm Bracelet,Janitor,Late Night,Office,Dog Barking,Black Vinyl Bag
437,60s,Golf Club,Grey Fleece Hoodie,Suede Boat shoes,Mid-long Straight Hair,Gold Cross Necklace,Soldier,Early Morning,Self Service Bar,Screaming,Excrements
438,20s,Wooden Handle Hatchet,China Collar Shirt,Thigh High Wellies,Bob With Bangs,Thick Glasses,Lawyer,Late Night,Old Guest House,Phone Alarm Ringing,Arson Attempt
439,30s,Walther PPK ,Purple Short Cardigan,White Basketball Shoes,Dandy Hairstyle,Hand Prothetics,Mart Cashier,Morning,Self Service Cafe,Hammering Sound,Fly
440,60s,Rusty Pickaxe,Duck Patch Hoodie,Cherry Colored Boots,Dandy Hairstyle,Gold Cross Necklace,Chef,Morning,Underground Grocery Store,Throw Up Blood,Nail Tips
441,40s,Old Striped Tie,Vest With Slits,Blue Football Boots,Bob With Bangs,Lip Piercing,Mart Cashier,Night,Motel in Downtown,Dog Barking,Black Hair
442,50s,Fabric Scissors,Cotton Zip Hoodie,White Stained Boots,Pixie Cut,Engagement Ring,Nurse,Deep Dawn,New Guest House,Crack Knuckles,Solid Blood
443,60s,White Silk Curtain,Varsity Jacket,Knee High Wellies,Two Block Haircut,Silver Stainless Ring,Doctor,Late Night,Officetel Underground Parkinglot,Propeller Sound,Chewed Gum
444,20s,Stained Handsaw,White Tshirt,White Running Shoes,Low Ponytail,Wide Leather Bracelet,Hair Designer,Late Afternoon,Deep Forest,Spit On Ground,Written In Blood
445,20s,Bottle of Propofol,Crop Vest Knit,Black Low Sneakers,Pomade Hair,Chocker Necklace,Guard,Morning,Franchise Pub,Slip and Crash,Arson Attempt
446,20s,Desert Eagle,Ivy League Hoodie,Ochre Leather Loper,Black Short Babyperm,Black Backpack,Cleaner,Late Night,Inside Camping Car,Running Treadmill,Fibrous Tissues
447,20s,Wooden Cane,Grey Fleece Hoodie,Red Football Boots,Brown Short Babyperm,Millitary Backpack,Doctor,Late Night,Major Bank,Computer Mouse Clicking,Bloodstained Everywhere
448,30s,Computer Monitor,Lace Blouse,White Basketball Shoes,Bob Hair,Stud Earrings,Janitor,Night,Old Snack Bar,Bearing Groaning,Empty Cartridge
449,50s,Submachine Gun AR-18,Yellow Short Cardigan,Ochre Leather Loper,Brown Short Babyperm,Silver Stainless Ring,Sanitation Worker,Late Afternoon,Old Studio Apartment,Running Treadmill,Fibrous Tissues
450,40s,Colt Python,Purple Short Cardigan,Black Converse,Perm With Bangs,Black Disposable Mask,Sanitation Worker,Night,Female Outfit Outlet,Chewing Paper Cup,Black Wig Hair
451,30s,Female Stocking,Luxury Brown Shearing,German Army Trainers,Natural Two Block,Thick Glasses,Soldier,Late Night,Inn Near Brothel,Water Flowing Sound,Black Hair
452,40s,Hydrochloric Acid,Cotton Zip Hoodie,Brown Flip Flop,Brown Short Babyperm,Cross Charm Bracelet,Professor,Night,Office,Joint twisted,Arson Attempt
453,30s,Microgun XM214,Vest With Slits,Suede Boat shoes,Short Hair,Drop earrings,Engineer,Morning,Messy Goshiwon,Hazy Music,Empty Cartridge
454,70s,Studded Dirty Knuckle,China Collar Shirt,White Basketball Shoes,Pixie Cut,Thick Chain Nechlace,Nurse,Late Afternoon,Old Snack Bar,Strong Wind,Irregular Footprints
455,20s,Fire Poker,Undershirt,Cherry Colored Boots,High Ponytail,Eyebrow Piercing,Nurse,Morning,New Guest House,Cutlery Falling down,Crumpled Cigarette Package
456,20s,Microgun XM214,Vest With Slits,Black Converse,Comma Hairstyle,Engagement Ring,Janitor,Morning,Deep Forest,Phone Alarm Ringing,Lipstick Stained Cigarette
457,70s,Piano Wire,Short Padded Coat,Black Low Sneakers,Mid-long Ponytail,Engagement Ring,Mart Cashier,Late Afternoon,Big Square Onstage,Quite Conversation,Fingerprints
458,30s,White Silk Curtain,Vest With Slits,Black Dress Shoes,Perm With Bangs,Black Disposable Mask,Soldier,Morning,Old DVD room,Finger Snap,Maggot
459,50s,Fabric Scissors,Grey Hiking Jacket,Black Low Sneakers,High Ponytail,Black Backpack,Sanitation Worker,Late Night,Old DVD room,Electric Fan Sound,Solid Blood
460,50s,Glacial Acetic Acid,Jersey Zip Hoodie,Black Low Sneakers,Natural Two Block,Black Backpack,Engineer,Morning,Underground Parking Lot,Fan Sound,Ripped Cloth
461,20s,Bereta APX,Grey Hiking Jacket,Black Boots,Long Permed Hair,Leg Prosthetics,Mechanic,Morning,Messy Goshiwon,Joint twisted,Chewed Gum
462,20s,Wrapped Knife,Jersey Zip Hoodie,Chess Patteren loafer,Pixie Cut,Thick Chain Nechlace,Chef,Deep Dawn,Convinience Store Table,Water Flowing Sound,Scorch Mark
463,40s,Bereta APX,Brown Wool Coat,Strapped Leather Sandal,Short Permed Hair,Black Disposable Mask,Doctor,Late Night,Lonesome Bus Station,Neon Sign Noise,Solid Blood
464,50s,Golf Club,Long Field Jacket,White Platform Sneakers,Long Permed Hair,Skull Shaped Ring,Soldier,Morning,Blackout Parking Lot,Counting Money,Lipstick Without Fingerprint
465,60s,Coca-cola Bottle,Vest With Slits,White Basketball Shoes,Long Hair,Lion Shaped Ring,Guard,Early Morning,Karaoke Underground,Hazy Music,Arson Attempt
466,30s,Wood Branch,Stripe Turtleneck Knit,Blue Colored Boots,High Ponytail,Chocker Necklace,Soldier,Late Night,Town Hall,Finger Snap,Arson Attempt
467,60s,Muscaria Mushroom,Black Hiking Jacket,Suede Boat shoes,Dandy Hairstyle,Stud Earrings,Mart Cashier,Early Morning,Dormitory High School,Throw Up Blood,Women`s Underwear
468,70s,Flathead Screwdriver,Short Padded Coat,Red Converse,Pomade Hair,Black Backpack,Model,Late Night,Motel in Downtown,Irregular Walking Sound,Irregular Footprints
469,50s,Desert Eagle,Short Padded Coat,Blue Football Boots,Short Curly Hair,Electronics Anklet,Soldier,Morning,Normal House,Stepping Cobble,Black Hair
470,60s,Sulfuric Acid,Emerald Coach Jacket,Cherry Colored Boots,High Ponytail,Thick Chain Nechlace,Janitor,Morning,Blackout Parking Lot,Water Shaking,Weapon With Fingerprint
471,30s,Round Edged Stone,Long Field Jacket,Ivowy Suede Moccasin,Mid-long Curly Hair,Thick Chain Nechlace,Model,Late Night,SUV Back Seats,TV Sports Commentaries,Ripped Cloth
472,50s,Expandable Nightstick,Luxury Brown Shearing,Black Low Sneakers,Long Hippie Perm,Buddhist Bead Bracelet,Hair Designer,Morning,Old Snack Bar,Chewing Paper Cup,Nail Tips
473,20s,Pry Bar,Long Sleeve Tshirt,Brown Leather Loafer,Mid-long Curly Hair,Cross Charm Bracelet,Chef,Late Night,Inside Taxi,TV Sports Commentaries,Chewed Gum
474,60s,Ivory Bowie Knife,Blue Shirt,White Basketball Shoes,Natural Two Block,Silver Stainless Ring,Soldier,Late Night,Franchise Pub,Digging With Shovel,Scorch Mark
475,50s,Microgun XM214,Grey Knit Shirt,Brown Flip Flop,Perm With Bangs,Lion Shaped Ring,Professor,Morning,Convinience Store Table,Fan Sound,Glass Fragments
476,20s,Soju Bottle,Long buttonless Cardigan,Blue Football Boots,Pixie Cut,Wide Leather Bracelet,Guard,Late Night,Office,Chewing Gum,Fibrous Tissues
477,60s,BBQ Fork,Blue Shirt,Thigh High Wellies,Pixie Cut,Silver Stainless Ring,Nurse,Morning,Room Cafe,Remote Air Conditioner,Lipstick Stained Cigarette
478,20s,Black Belt,Bulletproof Vest,White Platform Sneakers,Long Blonde hair,Colorful Bracelets,Sanitation Worker,Late Night,Self Service Cafe,Sound of Wave,Paint Stain
479,20s,Submachine Gun K16,Yellow Short Cardigan,Ivowy Suede Moccasin,Pixie Cut,Eyebrow Piercing,Mart Cashier,Late Night,Haunted House,Bearing Groaning,Fibrous Tissues
480,60s,Monkey Wrench,Grey Hiking Jacket,Blue Football Boots,Pink Permed Hair,Leg Prosthetics,Sanitation Worker,Early Morning,Closed Amusement Park,Propeller Sound,Excrements
481,60s,Walther PPK ,Vest With Slits,Black Long Boots,Cherry Red Hair,Silver Stainless Ring,Soldier,Late Night,Subway Station Entrance,Stepping Cobble,Women`s Underwear
482,40s,White Silk Curtain,Pilot Bomber Jacket,White Platform Sneakers,Dandy Hairstyle,Thick Chain Nechlace,Cleaner,Early Morning,University Hospital,Remote Air Conditioner,Written In Blood
483,20s,Rusty Shotgun,Long Sleeve Tshirt,White Platform Sneakers,Short Curly Hair,Skull Shaped Ring,Doctor,Late Afternoon,Major Bank,Water Flowing Sound,Black Vinyl Bag
484,30s,Sealed Wine Bottle,Stripe Turtleneck Knit,Ivory Converse,Pink Permed Hair,Tennis Wristband,Janitor,Morning,Karaoke Underground,Throw Up Blood,Bullet
485,30s,Pottassium Chloride,White Tshirt,White Basketball Shoes,Black Short Babyperm,Millitary Backpack,Athletic Trainer,Early Morning,Big Old Arboretum,Phone Alarm Ringing,Metal Fragments
486,20s,Walther PPK .32ACP,Long buttonless Cardigan,White Platform Sneakers,Short Hair,Black Disposable Mask,Doctor,Morning,Old Snack Bar,Irregular Walking Sound,Arson Attempt
487,20s,Black Belt,Vest With Slits,Brown Leather Loafer,Short Curly Hair,Lip Piercing,Firefighter,Late Night,Private English Academy,People Having Conversation,Glass Fragments
488,50s,Beer Bottle,Crop Vest Knit,Ivowy Suede Moccasin,Mid-long Ponytail,Skull Shaped Ring,Professor,Deep Dawn,Semi Basement Apartment,Chewing Gum,Metal Fragments
489,30s,Tetrodotoxin Powder,Lace Blouse,Cherry Colored Boots,Long Curly Hair,Wide Leather Bracelet,Guard,Deep Dawn,Shared Office Toilet,Crack Knuckles,Disposable Lighter
490,40s,Red Brick,Long Sleeve Tshirt,White Basketball Shoes,Pixie Cut,Buddhist Bead Bracelet,Mart Cashier,Late Night,Custom Camping Car,People Having Conversation,Women`s Underwear
491,30s,Yellow Box Cutter,Pilot Bomber Jacket,White Running Shoes,Dandy Hairstyle,Engagement Ring,Homeless,Late Night,Lonesome Bus Station,Quite Conversation,Glass Fragments
492,20s,Red Brick,Blue Shirt,German Army Trainers,Long Bleached hair,Nose Piercing,Hotel Receptionist,Deep Dawn,Lonesome Bus Station,TV Sports Commentaries,Nail Tips
493,40s,Black Handled Scissors,Ivy League Hoodie,Knee High Wellies,Short Hair,Colorful Bracelets,Mechanic,Night,Old DVD room,Bearing Groaning,Footprint 240mm Loper
494,70s,BBQ Fork,Cotton Zip Hoodie,Chess Patteren loafer,Brown Short Babyperm,Gold Cross Necklace,Banker,Early Morning,Haunted House,Neon Sign Noise,Light Brown Hair
495,20s,Cattle Gun,White Shirt,Ivowy Suede Moccasin,Two Block Haircut,Electronics Anklet,Hotel Receptionist,Night,Single Corridor Apartment,Fan Sound,Used Toilet Paper
496,20s,Remington M7188,Blue Shirt,Black Converse,Long Hippie Perm,Thick Chain Nechlace,Sanitation Worker,Early Morning,Dumpster,Neon Sign Noise,Black Powder
497,50s,Sharp Pencil,Vest With Slits,White Running Shoes,Short Permed Hair,Wide Leather Bracelet,Lawyer,Late Night,Lonesome Bus Station,Chewing Paper Cup,Headlight
498,20s,Sealed Wine Bottle,Jersey Zip Hoodie,Ivory Converse,Low Ponytail,Engagement Ring,Cleaner,Around Midnight,Town Hall,Irregular Walking Sound,Arson Attempt
499,40s,Yellow Box Cutter,Varsity Jacket,Black Converse,Mid-long Curly Hair,Black Disposable Mask,Professor,Night,Blackout Parking Lot,Grill the Meat,Glass Fragments
500,50s,Mercury,Grey Knit Shirt,German Army Trainers,Pink Permed Hair,Colorful Bracelets,Lawyer,Deep Dawn,Inside Taxi,Cutting Something,Used Toilet Paper
501,30s,Pottassium Chloride,Jersey Zip Hoodie,White Running Shoes,Long Hippie Perm,Millitary Backpack,Homeless,Morning,PC cafe,Chewing Paper Cup,Different Soil
502,20s,Black Belt,Short Padded Coat,German Army Trainers,Short Hair,Skull Shaped Ring,Engineer,Early Morning,Cargo Truck Back,TV Sports Commentaries,Disposable Lighter
503,20s,Monkey Wrench,Long Padded Coat,Black Low Sneakers,Long Hair,Cross Charm Bracelet,Engineer,Deep Dawn,SUV Back Seats,Finger Snap,Scorch Mark
504,30s,Police Nightstick,Old Denim Jacket,Black Boots,Comma Hairstyle,Black Backpack,Soldier,Deep Dawn,Greek Style Pension,Cutting Something,Scorch Mark
505,20s,Ivory Bowie Knife,Luxury Brown Shearing,Ivowy Suede Moccasin,Pink Permed Hair,Colorful Bracelets,Hair Designer,Night,Karaoke Underground,Twisting Jaw joint,Written In Blood
506,40s,Mercury,White Tshirt,Blue Football Boots,Mid-long Straight Hair,Skull Shaped Ring,Mart Cashier,Late Night,Dumpster,Sound of Wave,Headlight
507,20s,Climbing Rope,Brown Wool Coat,Black Dress Shoes,Two Block Haircut,Black Backpack,Engineer,Deep Dawn,Closed Factory,Plastic Beating Sound,Lipstick Stained Cigarette
508,20s,Wooden Baseball Bat,Long Padded Coat,Ivory Converse,Long Blonde hair,Millitary Backpack,Nurse,Late Night,Dormitory High School,Pipe Hitting Wall,Scorch Mark
509,30s,Wooden Handle Cleaver,Luxury Brown Shearing,White Platform Sneakers,Natural Two Block,Millitary Backpack,Athletic Trainer,Deep Dawn,Big Old Arboretum,Drilling,Irregular Footprints
510,40s,Red Brick,China Collar Shirt,Blue Colored Boots,Bob With Bangs,Leg Prosthetics,Hotel Receptionist,Deep Dawn,Karaoke Underground,Toilet Flush Sound,Written In Blood
511,70s,Wodden Handle Shovel,Ivy League Hoodie,Red Football Boots,High Ponytail,Engagement Ring,Sanitation Worker,Early Morning,Office,Finger Snap,Fibrous Tissues
512,30s,Wooden Handle Hatchet,Ivy League Hoodie,German Army Trainers,Brown Short Babyperm,Buddhist Bead Bracelet,Engineer,Late Night,Shared Office Toilet,Fan Sound,Solid Blood
513,30s,Quick Pipe Wrench,Purple Short Cardigan,Suede Boat shoes,Short Permed Hair,Left Ear Pierced,Engineer,Morning,Major Bank,Propeller Sound,Fly
514,20s,White Silk Curtain,Luxury Brown Shearing,Logo Printed Slider,Long Curly Hair,Wide Leather Bracelet,Actor,Late Night,Officetel Staircase,Strong Wind,Scorch Mark
515,20s,Rusty Hammer,Short Padded Coat,Ivory Converse,Brown Short Babyperm,Skull Shaped Ring,Lawyer,Late Night,Luxury Club,Whistle,Body Hair
